post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47673880,Show HN: Pion/handoff – Move WebRTC out of browser and into Go,entertainment,53,11,Sean-Der,2026-04-07 20:17:45,0.2037037037037037,False
47673394,"Show HN: Stop paying for Dropbox/Google Drive, use your own S3 bucket instead",entertainment,142,122,Zm44,2026-04-07 20:17:45,0.8531468531468531,False
47616475,Haunting Photos Show the Aftermath of the Kursk Submarine Disaster in 2000,entertainment,63,10,mooreds,2026-04-07 20:17:53,0.15625,False
47666024,Show HN: Ghost Pepper – Local hold-to-talk speech-to-text for macOS,entertainment,423,189,MattHart88,2026-04-07 20:17:57,0.44575471698113206,True
47638498,Show HN: AdaShape-3D modeler for intuitive 3D printing parts / Windows 11,entertainment,26,18,fsloth,2026-04-07 20:18:05,0.6666666666666666,False
47660853,Book review: There Is No Antimemetics Division,entertainment,273,204,ibobev,2026-04-07 20:18:10,0.7445255474452555,True
47636579,Show HN: Anos – a hand-written ~100KiB microkernel for x86-64 and RISC-V,entertainment,96,27,noone_youknow,2026-04-07 20:18:11,0.27835051546391754,False
47637828,Show HN: Tusk for macOS and Gnome,entertainment,110,38,factorialboy,2026-04-07 20:18:16,0.34234234234234234,False
47665685,Show HN: TTF-DOOM – A raycaster running inside TrueType font hinting,entertainment,59,12,4RH1T3CT0R,2026-04-07 20:18:22,0.2,False
47662429,Show HN: Weird Clocks,entertainment,46,13,vunderba,2026-04-07 20:18:47,0.2765957446808511,False
47655392,Show HN: I made a YouTube search form with advanced filters,entertainment,315,201,nevernothing,2026-04-07 20:18:50,0.6360759493670886,True
47655268,"Show HN: Modo – I built an open-source alternative to Kiro, Cursor, and Windsurf",entertainment,98,22,mohshomis,2026-04-07 20:19:01,0.2222222222222222,False
47652322,Music for Programming,entertainment,345,170,merusame,2026-04-07 20:19:07,0.4913294797687861,True
47637206,Show HN: Docking – Extensible Linux dock in Python,entertainment,26,8,edumucelli,2026-04-07 20:19:13,0.2962962962962963,False
47646504,Show HN: OsintRadar – Curated directory for osint tools,entertainment,83,9,lexalizer,2026-04-07 20:19:22,0.10714285714285714,False
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,entertainment,173,30,laszlokorte,2026-04-07 20:19:22,0.1724137931034483,False
47658617,Show HN: I just built a MCP Server that connects Claude to all your wearables,entertainment,17,12,anton_salcher,2026-04-07 20:19:30,0.6666666666666666,False
47645025,Show HN: Contrapunk – Real-time counterpoint harmony from guitar input,entertainment,118,54,waveywaves,2026-04-07 20:19:34,0.453781512605042,False
47665630,Show HN: Meta-agent: self-improving agent harnesses from live traces,entertainment,10,0,essamsleiman,2026-04-07 20:19:36,0.0,False
47662313,Show HN: ReverseCam – See yourself as others see you,entertainment,10,1,ilamparithi,2026-04-07 20:19:48,0.09090909090909091,False
47625952,Show HN: I built a frontpage for personal blogs,entertainment,780,194,ramkarthikk,2026-04-07 20:19:54,0.24839948783610755,True
47613118,Show HN: I built a small app for FSI German Course,entertainment,53,15,syedmsawaid,2026-04-07 20:19:59,0.2777777777777778,False
47659363,"Show HN: I replaced Google Analytics with my own tool – no cookies, <1KB script",entertainment,13,10,VictorChanet,2026-04-07 20:20:13,0.7142857142857143,False
